date,highest_temp,lowest_temp,weather
2021-01-01,10,5,阴
2021-01-02,7,6,阴
2021-01-03,10,7,阴
2021-01-04,8,7,多云
2021-01-05,10,7,阴
2021-01-06,9,5,阴
2021-01-07,6,3,阴
2021-01-08,6,4,多云
2021-01-09,4,3,阴
2021-01-10,5,2,小雨
2021-01-11,9,0,阴
2021-01-12,12,1,晴
2021-01-13,13,2,晴
2021-01-14,13,3,晴
2021-01-15,12,6,多云
2021-01-16,7,4,小雨到中雨
2021-01-17,5,0,晴
2021-01-18,6,2,晴
2021-01-19,9,5,阴
2021-01-20,10,0,阴
2021-01-21,9,6,晴
2021-01-22,15,6,晴
2021-01-23,13,9,阴
2021-01-24,10,8,小雨
2021-01-25,12,8,阴
2021-01-26,10,8,阴
2021-01-27,9,8,阴
2021-01-28,11,8,阴
2021-01-29,13,0,多云
2021-01-30,14,9,阴
2021-01-31,12,8,阴
2021-02-01,15,8,阴
2021-02-02,11,8,阴
2021-02-03,12,8,阴
2021-02-04,12,9,阴
2021-02-05,13,6,晴
2021-02-06,11,7,阴
2021-02-07,17,11,多云
2021-02-08,16,10,多云
2021-02-09,12,0,阴
2021-02-10,19,9,晴
2021-02-11,20,10,多云
2021-02-12,22,10,晴
2021-02-13,16,10,晴
2021-02-14,20,12,阴
2021-02-15,14,11,阴
2021-02-16,15,9,多云
2021-02-17,18,11,阴
2021-02-18,18,11,多云
2021-02-19,19,11,晴
2021-02-20,21,10,晴
2021-02-21,23,11,晴
2021-02-22,24,15,多云
2021-02-23,23,16,晴
2021-02-24,26,16,晴
2021-02-25,17,9,阴
2021-02-26,11,10,阴
2021-02-27,12,10,阴
2021-02-28,10,8,阴
2021-03-01,16,9,阴
2021-03-02,11,9,阴
2021-03-03,15,8,多云
2021-03-04,18,11,多云
2021-03-05,19,12,多云
2021-03-06,15,11,多云
2021-03-07,14,12,小雨
2021-03-08,15,12,阴
2021-03-09,17,13,多云
2021-03-10,15,11,阴
2021-03-11,20,13,多云
2021-03-12,20,14,多云
2021-03-13,25,14,晴
2021-03-14,24,16,小雨
2021-03-15,26,16,晴
2021-03-16,18,17,多云
2021-03-17,24,17,多云
2021-03-18,23,18,多云
2021-03-19,18,12,阴
2021-03-20,13,9,阴
2021-03-21,10,9,阴
2021-03-22,13,10,阴
2021-03-23,18,9,晴
2021-03-24,23,14,阴
2021-03-25,20,15,阴
2021-03-26,14,12,多云
2021-03-27,23,12,多云
2021-03-28,27,16,晴
2021-03-29,25,17,多云
2021-03-30,23,16,晴
2021-03-31,22,19,多云
2021-04-01,16,15,阴
2021-04-02,14,12,阴
2021-04-03,17,13,阴
2021-04-04,17,15,阴
2021-04-05,18,15,阴
2021-04-06,16,14,小雨
2021-04-07,16,14,阴
2021-04-08,22,14,晴
2021-04-09,20,14,多云
2021-04-10,17,14,阴
2021-04-11,19,15,小雨
2021-04-12,21,15,多云
2021-04-13,21,17,阴
2021-04-14,21,17,阴
2021-04-15,19,15,阴
2021-04-16,18,16,阴
2021-04-17,17,15,阴
2021-04-18,16,14,阴
2021-04-19,20,16,阴
2021-04-20,20,16,阴
2021-04-21,23,14,多云
2021-04-22,27,16,晴
2021-04-23,24,20,阴
2021-04-24,18,17,阴
2021-04-25,19,16,阴
2021-04-26,23,15,多云
2021-04-27,27,18,多云
2021-04-28,23,15,阴
2021-04-29,22,16,晴
2021-04-30,32,18,晴
2021-05-01,36,17,多云
2021-05-02,36,22,小雨到大雨
2021-05-03,27,20,阴
2021-05-04,26,17,小雨转阴
2021-05-05,19,15,小雨到中雨
2021-05-06,20,15,多云
2021-05-07,26,17,阴
2021-05-08,28,18,晴
2021-05-09,33,21,阴
2021-05-10,28,21,晴
2021-05-11,20,12,阴
2021-05-12,29,21,阴
2021-05-13,21,19,阴
2021-05-14,30,21,多云
