date,highest_temp,lowest_temp,weather
2021-01-01,3,-4,晴
2021-01-02,4,-1,多云
2021-01-03,0,-1,多云
2021-01-04,2,-4,晴
2021-01-05,0,-7,晴
2021-01-06,0,-14,晴
2021-01-07,-10,-13,多云
2021-01-08,-4,-8,晴
2021-01-09,-1,-6,晴
2021-01-10,0,-4,多云
2021-01-11,2,-3,阴
2021-01-12,5,0,晴
2021-01-13,8,4,晴
2021-01-14,9,1,晴
2021-01-15,3,-4,多云
2021-01-16,0,-5,晴
2021-01-17,3,-1,晴
2021-01-18,5,-1,晴
2021-01-19,4,0,多云
2021-01-20,7,4,阴
2021-01-21,8,1,晴
2021-01-22,0,-1,多云
2021-01-23,4,-1,晴
2021-01-24,5,3,阴
2021-01-25,7,3,阴
2021-01-26,3,0,多云
2021-01-27,5,-1,多云
2021-01-28,0,-5,风
2021-01-29,4,2,晴
2021-01-30,9,5,晴
2021-01-31,8,4,多云
2021-02-01,7,-4,晴
2021-02-02,1,0,晴
2021-02-03,5,-2,晴
2021-02-04,5,2,多云
2021-02-05,7,4,晴
2021-02-06,15,2,晴
2021-02-07,8,-2,晴
2021-02-08,4,1,晴
2021-02-09,6,3,晴
2021-02-10,11,3,阴
2021-02-11,6,4,晴
2021-02-12,11,4,晴
2021-02-13,12,5,阴
2021-02-14,8,0,阴
2021-02-15,2,1,晴
2021-02-16,4,-4,晴
2021-02-17,0,-4,风
2021-02-18,6,3,晴
2021-02-19,13,4,晴
2021-02-20,17,9,晴
2021-02-21,15,5,晴
2021-02-22,10,1,晴
2021-02-23,6,2,多云
2021-02-24,4,1,阴
2021-02-25,4,1,阴
2021-02-26,9,3,多云
2021-02-27,12,6,多云
2021-02-28,8,4,小雨
2021-03-01,2,-1,晴
2021-03-02,7,3,晴
2021-03-03,7,5,晴
2021-03-04,10,5,晴
2021-03-05,11,1,多云
2021-03-06,5,-1,多云
2021-03-07,7,3,多云
2021-03-08,7,5,多云
2021-03-09,11,5,晴
2021-03-10,12,5,多云
2021-03-11,10,3,阴
2021-03-12,14,6,晴
2021-03-13,14,7,晴
2021-03-14,12,7,阴
2021-03-15,10,5,晴
2021-03-16,12,4,晴
2021-03-17,10,5,晴
2021-03-18,12,4,多云
2021-03-19,10,6,阴
2021-03-20,8,5,多云
2021-03-21,8,4,晴
2021-03-22,17,7,晴
2021-03-23,14,8,晴
2021-03-24,17,7,晴
2021-03-25,16,9,阴
2021-03-26,12,10,小雨
2021-03-27,14,8,晴
2021-03-28,18,8,霾
2021-03-29,17,7,霾
2021-03-30,15,7,晴
2021-03-31,16,9,多云
2021-04-01,16,9,阴
2021-04-02,11,9,阴
2021-04-03,8,7,阴
2021-04-04,15,5,晴
2021-04-05,17,8,多云
2021-04-06,17,9,晴
2021-04-07,18,8,晴
2021-04-08,18,8,晴
2021-04-09,16,10,晴
